cuisine,Asian,Japanese,Chinese,Thai,Indian,Cuban,Mexican,Spanish,Southwestern,American,Southern,English,Irish,Hungarian,German,Swedish,French,Italian,Greek,Mediterranean,Moroccan
Asian,1,0.9,0.9,0.9,0.5,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15
Japanese,,1,0.5,0.5,0.3,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05
Chinese,,,1,0.8,0.6,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.1
Thai,,,,1,0.8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
Indian,,,,,1,0,0.4,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0.2
Cuban,,,,,,1,0.6,0.3,0.4,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1
Mexican,,,,,,,1,0.5,0.4,0.4,0.5,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.13,0.15,0.1
Spanish,,,,,,,,1,0.3,0.4,0.3,0.3,0.2,0.2,0.25,0.1,0.3,0.5,0.25,0.5,0.5
Southwestern,,,,,,,,,1,0.6,0.7,0.4,0.2,0.3,0.4,0.3,0.35,0,0.1,0.1,0.1
American,,,,,,,,,,1,0.55,0.25,0.2,0.15,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Southern,,,,,,,,,,,1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
English,,,,,,,,,,,,1,0.9,0.4,0.4,0.3,0.1,0.1,0.1,0.1,0
Irish,,,,,,,,,,,,,1,0.4,0.4,0.3,0.1,0.1,0.1,0.1,0
Hungarian,,,,,,,,,,,,,,1,0.7,0.4,0.2,0.25,0.25,0.2,0.15
German,,,,,,,,,,,,,,,1,0.4,0.3,0.3,0.3,0.2,0.15
Swedish,,,,,,,,,,,,,,,,1,0.2,0.2,0.15,0.1,0
French,,,,,,,,,,,,,,,,,1,0.4,0.25,0.3,0.35
Italian,,,,,,,,,,,,,,,,,,1,0.4,0.35,0.2
Greek,,,,,,,,,,,,,,,,,,,1,0.8,0.4
Mediterranean,,,,,,,,,,,,,,,,,,,,1,0.65
Moroccan,,,,,,,,,,,,,,,,,,,,,1
